id,Stars_name,Distance,Mass,Radius,luminosity
170,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
171,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
172,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
173,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
174,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
175,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
176,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
177,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
178,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
179,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
180,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
181,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
182,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
183,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
184,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
185,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
186,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
187,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
188,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
189,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
190,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
191,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
192,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
193,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
194,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
195,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
196,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
197,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
198,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
199,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
200,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
201,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
202,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
